"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Makes you wonder should @England taken the @brazil route @GaryLineker @BBCSport",FALSE,0,NA,2018-07-06 19:54:43,FALSE,NA,"1015323173972307970",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CainSouthby",0,FALSE,FALSE,NA,NA
"@Vayan_ @Brazil no luck with us <f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+0096>",FALSE,0,"Vayan_",2018-07-06 19:54:41,FALSE,"1015321122987003904","1015323165302644736","183957775","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moe_alhag",0,FALSE,FALSE,NA,NA
"This is Belgium you motherfuckers @Brazil",FALSE,0,NA,2018-07-06 19:54:39,FALSE,NA,"1015323158084247560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CapitanoAzpily",0,FALSE,FALSE,NA,NA
"HILAK SA TA I LOVE YOU @Brazil TY FOR FIGHTING SO HARD",FALSE,1,NA,2018-07-06 19:54:31,FALSE,NA,"1015323125024677888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jsndyy",0,FALSE,FALSE,NA,NA
"Just unlucky. Nice game @Brazil  !",FALSE,0,NA,2018-07-06 19:54:29,FALSE,NA,"1015323116652789762",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pahlevix",0,FALSE,FALSE,NA,NA
"Fantastic play by @Belgianfootball @Brazil time to go home <U+26BD><U+FE0F> well deserved victory @rioferdy5 @BBCMOTD",FALSE,1,NA,2018-07-06 19:54:28,FALSE,NA,"1015323112706068480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kashtheflash",0,FALSE,FALSE,NA,NA
"They think it’s all over. It is now @Brazil <f0><U+009F><U+0091><U+008B><f0><U+009F><U+0091><U+008B><f0><U+009F><U+0091><U+008B> https://t.co/b3mKJTQWlj",FALSE,0,NA,2018-07-06 19:54:27,FALSE,NA,"1015323108084011010",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","the_fool2",0,FALSE,FALSE,NA,NA
"Hey @Brazil you can’t cheat your way through the World Cup. This ref has been so good on your bullllllllll. Belgium… https://t.co/ywvCJmaPsV",FALSE,0,NA,2018-07-06 19:54:26,TRUE,NA,"1015323103449137152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","churrolicious",0,FALSE,FALSE,NA,NA
"you talked too much and lost.
@Brazil @neymarjr",FALSE,0,NA,2018-07-06 19:54:21,FALSE,NA,"1015323085321404416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SuperDuperJace",0,FALSE,FALSE,NA,NA
"What a run @Brazil",FALSE,0,NA,2018-07-06 19:54:21,FALSE,NA,"1015323083849203713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xomandyyyxo",0,FALSE,FALSE,NA,NA
"RT @Urban_Celt: I think cheating Neymar has just cost his team the chance to qualify.... Should Brazil drop him? #BRABEL @Brazil @PSG_Engli…",FALSE,0,NA,2018-07-06 19:54:20,FALSE,NA,"1015323080535822339",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rhebelyell",3,TRUE,FALSE,NA,NA
"RT @Urban_Celt: I think cheating Neymar has just cost his team the chance to qualify.... Should Brazil drop him? #BRABEL @Brazil @PSG_Engli…",FALSE,0,NA,2018-07-06 19:54:16,FALSE,NA,"1015323062760280069",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mcfadzean_neil",3,TRUE,FALSE,NA,NA
"@shekharpraveen @Brazil @croatiafootball @francefootball @FIFAWorldCup Bull's eye",FALSE,0,"shekharpraveen",2018-07-06 19:54:15,FALSE,"1015286394401386496","1015323056703565824","102335588","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anshumanparasar",0,FALSE,FALSE,NA,NA
"@B_79_73 @stilesoobrien @Brazil Brazil are going home!",FALSE,1,"B_79_73",2018-07-06 19:54:14,FALSE,"1015322157990273024","1015323055936147456","4328048897","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","conradtreanor",0,FALSE,FALSE,NA,NA
"@MasekoThembaJ @Brazil @Belgium Or simply rule that there should be extra time by virtue of status.",FALSE,1,"MasekoThembaJ",2018-07-06 19:54:08,FALSE,"1015322843154874368","1015323027628810242","102391944","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RamsByTheHorns",0,FALSE,FALSE,NA,NA
